Nodes,Weight 1,Weight 2,Weight 3,Weight 4
China,0,4,3,30
India,0,2,2,22
Malasia,0,4,1,15
Singapura,0,5,3,17
Indonesia,0,2,2,10
Filipinas,0,4,2,9
Africa do Sul,0,2,1,14
Luxemburgo,0,2,1,6
França,0,3,1,23
Holanda,0,3,1,16
Italia,0,3,1,20
Espanha,0,3,2,16
Belgica,0,3,1,16
Polonia,0,4,2,19
Portugal,0,2,1,12
Paquistao,0,1,1,5
Argentina,0,3,4,9
Kuwait,0,2,1,4
Emirados Arabes Unidos,0,4,3,8
Catar,0,2,1,5
Turquia,0,2,2,14
Sudao,0,0,1,0
Canada,0,3,1,28
Nepal,0,0,1,0
Japao,0,3,0,16
Australia,0,4,1,24
Bangladesh,0,1,0,3
Coreia do Sul,0,3,0,13
Tailandia,0,4,1,15
Estados Unidos,0,3,5,33
Reino Unido,0,5,1,29
Alemanha,0,3,2,29
Suecia,0,2,0,13
Suiça,0,3,0,13
Grecia,0,1,0,11
Croacia,0,1,1,6
Noruega,0,2,0,14
Republica Tcheca,0,2,0,13
Hong Kong,0,2,0,15
Cazaquistao,0,0,0,7
Austria,0,1,1,15
Eslovaquia,0,2,0,8
Dinamarca,0,2,0,13
Bulgaria,0,1,1,6
Letonia,0,1,0,3
Hungria,0,3,1,11
Irlanda,0,3,0,8
Romenia,0,1,0,16
Finlandia,0,2,0,8
Russia,0,2,1,20
Israel,0,2,0,6
Taiwan,0,3,0,11
Peru,0,2,1,7
Mexico,0,3,0,16
Colombia,0,2,2,9
Chile,0,3,1,10
Brasil,0,4,3,18
Tunisia,0,0,0,3
Nigeria,0,3,0,5
Marrocos,0,1,0,5
Libano,0,0,0,3
Quenia,0,2,0,5
Ira,0,0,0,2
Egito,0,0,0,5
Argelia,0,0,0,4
Ucrania,0,1,0,10
Vietna,0,3,0,5
Panama,0,0,2,6
Mianmar,0,0,0,2
Oma,0,1,0,2
Botsuana,0,2,0,1
Arabia Saudita,0,2,0,6
Bahrein,0,1,0,1
Nova Zelandia,0,3,0,13
Uruguai,0,2,1,4
Equador,0,1,0,4
Bolivia,0,1,0,4
Porto Rico,0,1,1,2
Eslovenia,0,1,1,2
Gana,0,2,0,3
Servia,0,1,1,2
Trindade e Tobago,0,1,0,2
Bosnia e Herzegovina,0,1,0,2
Paraguai,0,1,1,2
Republica Dominicana,0,1,1,4
Sri Lanka,0,1,0,2
Malta,0,0,1,2
Ilhas Mauricio,0,0,0,2
Malawi,0,1,0,1
Moçambique,0,2,0,2
Namibia,0,2,0,1
Tanzania,0,2,0,1
Uganda,0,2,0,1
Zambia,0,1,0,2
Angola,0,1,0,3
Costa Rica,0,0,1,3
Guatemala,0,0,2,5
Honduras,0,0,1,4
Venezuela,0,0,2,3
Bielorussia,0,0,1,3
Macedonia,0,0,1,1
Nicaragua,0,0,1,2
Jordania,0,0,0,2
Estonia,0,0,0,1
Lituania,0,0,0,2
Uzbequistao,0,0,0,2
Azerbaijao,0,0,0,2
El Salvador,0,0,0,4
Gabao,0,0,0,2
Albania,0,0,0,1
Cuba,0,0,0,3
Etiopia,0,0,0,1
Lesoto,0,0,0,1
Sudao do Sul,0,0,0,1
Zimbabue,0,0,0,1
Chipre,0,0,0,2
Costa do Marfim,0,0,0,1
Benin,0,0,0,1
Gibraltar,0,0,0,1
Fiji,0,0,0,1
Congo,0,0,0,1
Senegal,0,0,0,1
Chade,0,0,0,1
Haiti,0,0,0,1
Jamaica,0,0,0,2
Republica do Congo,0,0,0,1
Camaroes,0,0,0,1
Siria,0,0,0,1
Cambodja,0,0,0,2
Papua Nova Guine,0,0,0,1
Macau,0,0,0,1
Índia,0,0,0,1
Georgia,0,0,0,1
Mongolia,0,0,0,1
